image        no.   paper label             tegula id  source
p57_32.png   95    3_1 4_2 - b M p6m       1055       picked
p57_33.png   96    3_1 4_2 - c M p6m       1047       picked
p57_40.png   97    3_1 4_2 - d M cmm       1069       picked
p57_41.png   98    3_1 4_2 - 1a MN p6m     1054       picked
p57_42.png   99    3_1 4_2 - 2a MN p3m1    1046       picked
p57_43.png   100   3_1 4_2 - 3a MN p31m    1063       auto
p58_00.png   101   3_1 4_2 - 4a MN pmg     1072       picked
p58_01.png   102   3_1 4_2 - 5a MN p4m     1050       picked
p58_02.png   103   3_1 4_2 - 6a MN p6m     1045       picked
p58_03.png   104   3_1 4_2 - 7a MN pmm     882        auto
p58_10.png   105   3_1 4_2 - 8a MN cmm     1135       picked
p58_11.png   106   3_1 4_2 - 9a MN p6m     1053       picked
p58_12.png   107   3_1 4_2 - 10a MN p4m    1049       picked
p58_13.png   108   3_1 4_2 - 11a MN p6m    1044       picked
p58_20.png   109   3_1 4_2 - 12a MN cmm    1068       picked
p58_21.png   110   3_1 4_2 - 13a MN cmm    884        picked
p58_22.png   111   3_1 4_2 - 14a MN p6m    1052       picked
p58_23.png   112   3_1 4_2 - 15a MN pmg    1138       picked
p58_30.png   113   3_1 4_2 - 16a MN p4m    1048       picked
p58_31.png   114   3_1 4_2 - 17a MN p3m1   1043       picked
p58_32.png   115   3_1 4_2 - 18a MN p6m    1042       picked
p58_33.png   116   3_1 4_2 - 19a MN cmm    70         picked
p58_40.png   117   3_1 4_2 - 19b N p2      1145       auto
p58_41.png   118   3_1 4_2 - 19c N pgg     1146       auto
p58_42.png   119   3_1 4_2 - 19d N pmg     989        picked
p58_43.png   120   3_1 4_2 - 19e N cm      990        auto
p59_00.png   121   3_1 4_2 - 20a MN pmg    1071       picked
p59_01.png   122   3_1 4_4 - 1a MN p6m     392        picked
p59_02.png   123   3_1 4_4 - 2a MN p4m     391        picked
p59_03.png   124   3_1 4_4 - 3a MN p6m     390        picked
p59_10.png   125   3_1 4_4 - 4a MN cmm     401        picked
p59_11.png   126   3_1 4_4 - 5a MN p4m     34         picked
p59_12.png   127   3_1 4_4 - 5b N p4g      414        picked
p59_13.png   128   3_1 4_4 - 5c N p4       419        auto
p59_20.png   129   3_1 4_4 - 5d N pmm      389        auto
p59_21.png   130   3_1 4_4 - 5e N p4g      403        picked
p59_22.png   131   3_1 4_4 - 6a MN cmm     402        picked
p59_23.png   132   3_2 4_1 - 1a MN p6m     1507       picked
p59_30.png   133   3_2 4_1 - 2a MN p4m     1508       auto
p59_31.png   134   3_2 4_1 - 3a MN cmm     1513       picked
p59_32.png   135   3_2 4_1 - 4a MN p6m     1509       picked
p59_33.png   136   3_2 4_1 - 5a MN cmm     1539       picked
p59_40.png   137   3_2 4_1 - 6a MN p4g     1562       picked
p59_41.png   138   3_2 4_1 - 7a MN cmm     1515       picked
p59_42.png   139   3_2 4_1 - 8a MN pmm     1511       picked
p59_43.png   140   3_2 4_1 - 9a MN cmm     1517       picked
p60_00.png   141   3_2 4_1 - 10a MN p4g    1538       picked
p60_01.png   142   3_2 4_1 - 11a MN cmm    1514       picked
p60_02.png   143   3_2 4_1 - 12a MN pmm    1510       picked
p60_03.png   144   3_2 4_2 - a M p4m       194        picked
p60_10.png   145   3_2 4_2 - b M p6m       195        picked
p60_11.png   146   3_2 4_2 - c M p6m       193        picked
p60_12.png   147   3_2 4_2 - d M cmm       205        picked
p60_13.png   148   3_2 4_2 - e MF pmg      8954       picked
p60_20.png   149   3_2 4_2 - f F cmm       8944       picked
p60_21.png   150   3_2 4_2 - g F p2        8983       picked
p60_22.png   151   3_2 4_2 - h F pgg       9000       picked
p60_23.png   152   3_2 4_2 - i F p4        8989       picked
p60_30.png   153   3_2 4_2 - j F p6        8990       picked
p60_31.png   154   3_2 4_2 - k F p6        8988       picked
p60_32.png   155   3_2 4_2 - 1a MN pmm     214        picked
p60_33.png   156   3_2 4_2 - 1b NF cmm     8962       picked
p60_40.png   157   3_2 4_2 - 1c NF pmg     8965       picked
p60_41.png   158   3_2 4_2 - 1d NF pmg     8972       picked
