id,m,si,orient,off,curves,patch_ov,angles,lengths,whichEdge,mapping,iso_criteria,deep_criteria,aniso,min_block,block_criteria,block_bound,min_angle,spike_fatal,edge_ratio,on_clamp,vertex_figure,vdeg_match,homeo,wp,orbifold,evidence
5,4,0,0,0,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4m,*442,L3
5,4,0,0,1,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4m,*442,L3
5,4,0,0,2,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4m,*442,L3
5,4,0,0,3,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4m,*442,L3
5,4,0,1,0,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4m,*442,L3
5,4,0,1,1,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4m,*442,L3
5,4,0,1,2,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4m,*442,L3
5,4,0,1,3,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4m,*442,L3
38,4,0,0,0,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_2,pmm,*2222,L3
38,4,0,0,1,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 1 0 1,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_2,pmm,*2222,L3
38,4,0,0,2,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_2,pmm,*2222,L3
38,4,0,0,3,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 1 0 1,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_2,pmm,*2222,L3
38,4,0,1,0,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 1 0 1,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_2,pmm,*2222,L3
38,4,0,1,1,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_2,pmm,*2222,L3
38,4,0,1,2,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 1 0 1,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_2,pmm,*2222,L3
38,4,0,1,3,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_2,pmm,*2222,L3
41,4,0,0,0,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 1 0 1,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,cmm,2*22,L3
41,4,0,0,1,UUUU,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 2 0 2,"3,5,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,cmm,2*22,L3
41,4,0,0,2,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 1 0 1,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,cmm,2*22,L3
41,4,0,0,3,UUUU,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 2 0 2,"3,5,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,cmm,2*22,L3
41,4,0,1,0,UUUU,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 2 0 2,"3,5,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,cmm,2*22,L3
41,4,0,1,1,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 1 0 1,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,cmm,2*22,L3
41,4,0,1,2,UUUU,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 2 0 2,"3,5,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,cmm,2*22,L3
41,4,0,1,3,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 1 0 1,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,cmm,2*22,L3
48,4,0,0,0,SSSS,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 1 0 1,"1,2,3,4,5,6",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,pmm,*2222,L2
48,4,0,0,1,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,pmm,*2222,L2
48,4,0,0,2,SSSS,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 1 0 1,"1,2,3,4,5,6",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,pmm,*2222,L2
48,4,0,0,3,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,pmm,*2222,L2
48,4,0,1,0,SSSS,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 1 0 1,"1,2,3,4,5,6",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,pmm,*2222,L2
48,4,0,1,1,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,pmm,*2222,L2
48,4,0,1,2,SSSS,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 1 0 1,"1,2,3,4,5,6",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,pmm,*2222,L2
48,4,0,1,3,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,pmm,*2222,L2
49,4,0,0,0,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4g,4*2,L3
49,4,0,0,1,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4g,4*2,L3
49,4,0,0,2,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4g,4*2,L3
49,4,0,0,3,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4g,4*2,L3
49,4,0,1,0,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4g,4*2,L3
49,4,0,1,1,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4g,4*2,L3
49,4,0,1,2,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4g,4*2,L3
49,4,0,1,3,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4g,4*2,L3
55,4,0,0,0,SSSS,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,4,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4,442,L3
55,4,0,0,1,SSSS,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,4,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4,442,L3
55,4,0,0,2,SSSS,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,4,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4,442,L3
55,4,0,0,3,SSSS,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,4,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4,442,L3
55,4,0,1,0,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4,442,L3
55,4,0,1,1,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4,442,L3
55,4,0,1,2,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4,442,L3
55,4,0,1,3,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_4 4_4,p4,442,L3
103,4,0,0,0,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_1,pmm,*2222,L3
103,4,0,0,1,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 1 0 1,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_1,pmm,*2222,L3
103,4,0,0,2,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_1,pmm,*2222,L3
103,4,0,0,3,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 1 0 1,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_1,pmm,*2222,L3
103,4,0,1,0,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 1 0 1,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_1,pmm,*2222,L3
103,4,0,1,1,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_1,pmm,*2222,L3
103,4,0,1,2,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 1 0 1,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_1,pmm,*2222,L3
103,4,0,1,3,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_1,pmm,*2222,L3
134,4,0,0,0,IIII,not tested,60.00 120.00 60.00 120.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,7",,no (tile),,,,60.00,,1.0000,,3 6,yes,4_2 4_4,p6m,*632,L3
134,4,0,0,2,IIII,not tested,60.00 120.00 60.00 120.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,7",,no (tile),,,,60.00,,1.0000,,3 6,yes,4_2 4_4,p6m,*632,L3
134,4,0,1,0,IIII,not tested,60.00 120.00 60.00 120.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,7",,no (tile),,,,60.00,,1.0000,,3 6,yes,4_2 4_4,p6m,*632,L3
134,4,0,1,2,IIII,not tested,60.00 120.00 60.00 120.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,7",,no (tile),,,,60.00,,1.0000,,3 6,yes,4_2 4_4,p6m,*632,L3
142,4,0,0,0,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_4,cmm,2*22,L3
142,4,0,0,1,SSSS,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 1 0 1,"1,2,3,4,5,6",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_4,cmm,2*22,L3
142,4,0,0,2,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_4,cmm,2*22,L3
142,4,0,0,3,SSSS,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 1 0 1,"1,2,3,4,5,6",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_4,cmm,2*22,L3
142,4,0,1,0,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_4,cmm,2*22,L3
142,4,0,1,1,SSSS,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 1 0 1,"1,2,3,4,5,6",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_4,cmm,2*22,L3
142,4,0,1,2,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_4,cmm,2*22,L3
142,4,0,1,3,SSSS,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 1 0 1,"1,2,3,4,5,6",,no (tile),,,,90.00,,1.0000,,4,yes,4_2 4_4,cmm,2*22,L3
143,4,0,0,1,IIII,not tested,60.00 120.00 60.00 120.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,7",,no (tile),,,,60.00,,1.0000,,3 6,yes,4_4 4_2,cmm,2*22,L3
143,4,0,0,3,IIII,not tested,60.00 120.00 60.00 120.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,7",,no (tile),,,,60.00,,1.0000,,3 6,yes,4_4 4_2,cmm,2*22,L3
143,4,0,1,1,IIII,not tested,60.00 120.00 60.00 120.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,7",,no (tile),,,,60.00,,1.0000,,3 6,yes,4_4 4_2,cmm,2*22,L3
143,4,0,1,3,IIII,not tested,60.00 120.00 60.00 120.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,7",,no (tile),,,,60.00,,1.0000,,3 6,yes,4_4 4_2,cmm,2*22,L3
206,4,0,0,2,IISS,not tested,45.39 180.00 45.39 89.22,1.0000 1.0000 1.4239 1.4239,0 0 2 2,0 0 0 1,"1,2,3,5,6",,no (tile),,,,45.39,,0.7023,,4 6,yes,3_2 4_2,cmm,2*22,L2
206,4,0,1,0,IISS,not tested,45.39 180.00 45.39 89.22,1.0000 1.0000 1.4239 1.4239,0 0 2 2,0 0 0 1,"1,2,3,5,6",,no (tile),,,,45.39,,0.7023,,4 6,yes,3_2 4_2,cmm,2*22,L2
212,4,0,0,3,IIII,not tested,45.00 180.00 45.00 90.00,1.0000 1.0000 1.4142 1.4142,0 0 2 2,0 0 0 0,"1,2,3,5,6,9",,no (tile),,,,45.00,,0.7071,,4 5,yes,3_2 4_2,cmm,2*22,L3
212,4,0,1,3,IIII,not tested,45.00 180.00 45.00 90.00,1.0000 1.0000 1.4142 1.4142,0 0 2 2,0 0 0 0,"1,2,3,5,6,9",,no (tile),,,,45.00,,0.7071,,4 5,yes,3_2 4_2,cmm,2*22,L3
308,4,0,0,0,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 1 0 1,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_1 4_1,pmm,*2222,L3
308,4,0,0,1,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 0 0 0,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_1 4_1,pmm,*2222,L3
308,4,0,0,2,IIII,not tested,90.00 90.00 90.00 90.00,1.0000 1.0000 1.0000 1.0000,0 1 2 1,0 0 0 0,"1,2,3,4,5,6,9",,no (tile),,,,90.00,,1.0000,,4,yes,4_1 4_1,pmm,*2222,L3
