id,m,si,orient,off,curves,patch_ov,angles,lengths,whichEdge,mapping,iso_criteria,deep_criteria,aniso,min_block,block_criteria,block_bound,min_angle,spike_fatal,edge_ratio,on_clamp,vertex_figure,vdeg_match,homeo,wp,orbifold,evidence
3193,3,0,0,2,SSS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 2,0 0 0,1,,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,p2,2222,L2
3193,3,0,1,0,SSI,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 2,0 1 0,"1,2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,p2,2222,L2
3193,3,0,1,1,SIS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 0,0 0 1,"1,2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,p2,2222,L2
3193,3,0,1,2,SJJ,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 1,0 0 2,"2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,p2,2222,L2
3197,3,0,0,0,SSS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 1 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,pgg,22x,L2
3197,3,0,0,1,SSS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 1 1,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,pgg,22x,L2
3197,3,0,0,2,SIS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 2,0 0 0,1,,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,pgg,22x,L2
3197,3,0,1,0,SSI,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 2,0 0 0,"1,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,pgg,22x,L2
3197,3,0,1,1,SSS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 0,0 0 1,"1,2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,pgg,22x,L2
3197,3,0,1,2,SUU,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 1,0 0 2,"2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,pgg,22x,L2
3198,3,0,0,1,SJJ,not tested,45.00 45.00 90.00,1.0000 0.7071 0.7071,0 1 1,0 0 3,9,,no (tile),,,,45.00,,0.7071,,4 8,yes,3_2 3_2,p2,2222,L2
3198,3,0,1,0,SII,not tested,44.87 45.13 90.00,1.0000 0.7055 0.7087,0 1 2,0 0 0,1,,no (tile),,,,44.87,,0.7055,,4 8,yes,3_2 3_2,p2,2222,L2
3203,3,0,0,1,JSJ,not tested,120.00 30.00 30.00,1.0000 1.7321 1.0000,0 1 0,0 0 3,8,,no (tile),,,,30.00,,0.5774,,3 12,yes,3_1 3_1,p3,333,L2
3203,3,0,1,2,JIJ,not tested,120.00 30.00 30.00,1.0000 1.7321 1.0000,0 1 0,0 0 3,8,,no (tile),,,,30.00,,0.5774,,3 12,yes,3_1 3_1,p3,333,L2
3204,3,0,0,1,JSJ,not tested,90.00 45.00 45.00,1.0000 1.4142 1.0000,0 1 0,0 0 3,9,,no (tile),,,,45.00,,0.7071,,4 8,yes,3_1 3_1,p4,442,L2
3204,3,0,1,2,JIJ,not tested,90.00 45.00 45.00,1.0000 1.4142 1.0000,0 1 0,0 0 3,9,,no (tile),,,,45.00,,0.7071,,4 8,yes,3_1 3_1,p4,442,L2
3218,3,0,0,0,SSS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 1 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_1 3_1,pg,1xx,L2
3218,3,0,0,1,SSS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 1 1,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_1 3_1,pg,1xx,L2
3218,3,0,0,2,JJS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 2,0 2 0,"2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_1 3_1,pg,1xx,L2
3218,3,0,1,0,JJI,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 2,0 2 0,"2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_1 3_1,pg,1xx,L2
3218,3,0,1,1,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_1 3_1,pg,1xx,L2
3218,3,0,1,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_1 3_1,pg,1xx,L2
3227,3,0,0,0,SJJ,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 1,0 0 3,8,,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3,333,L2
3227,3,0,0,1,JJS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 2,0 3 0,8,,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3,333,L2
3227,3,0,0,2,JSJ,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 0,0 0 3,8,,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3,333,L2
3227,3,0,1,0,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3,333,L2
3227,3,0,1,1,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 2,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3,333,L2
3227,3,0,1,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3,333,L2
3228,3,0,0,0,SJJ,not tested,45.00 45.00 90.00,1.0000 0.7071 0.7071,0 1 1,0 0 3,9,,no (tile),,,,45.00,,0.7071,,4 8,yes,3_3 3_3,p4,442,L2
